REFFABRICANTE;TITULO;CODIGOINTERNO;EAN/UPC;CODFAMILIA;TITULOFAMILIA;CODSUBFAMILIA;TITULOSUBFAMILIA;CODFABRICANTE;NOMFABRICANTE;PRECIO;STOCK;PESO;PROXIMA_LLEGADA;CICLOVIDA;PLAZOENTREGA;CANONLPI;PRECIOSINCANON;
XONE104333;X-One Funda Libro View Samsung S7 Plateado;AATFYC2749;8435484104333;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;13;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE104357;X-One Funda Libro View Samsung S7 Edge Dorado;AATFYC2751;8435484104357;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;1;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE104364;X-One Funda Libro View Samsung S7 Edge Plateado;AATFYC2752;8435484104364;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;10;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE104371;X-One Funda Carcasa 360 Samsung A5 2017 Negro;AATFYC2753;8435484104371;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;8;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE104388;X-One Funda Carcasa 360 Samsung A5 2017 Plateado;AATFYC2754;8435484104388;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;3;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE104395;X-One Funda Carcasa 360 Samsung A5 2017 Dorado;AATFYC2755;8435484104395;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;9;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE104401;X-One Funda Carcasa 360 Samsung A5 2017 Transparen;AATFYC2756;8435484104401;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.4800000000;0;0.0575000000;;Proximamente;0.0000000000;0.0000000000;2.4800000000;
XONE104425;X-One Funda Libro Samsung A5 2017 Lotto;AATFYC2758;8435484104425;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9800000000;3;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9800000000;
XONE104432;X-One Funda Libro Samsung A5 2017 Círculo;AATFYC2759;8435484104432;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9800000000;16;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9800000000;
XONE104449;X-One Funda TPU Samsung A5 2017 Transparente India;AATFYC2760;8435484104449;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.8900000000;18;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;1.8900000000;
XONE104456;X-One Funda TPU Samsung A5 2017 Transparente Maya;AATFYC2761;8435484104456;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.8900000000;15;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;1.8900000000;
XONE104463;X-One Funda TPU Samsung A5 2017 Transparente Jardí;AATFYC2762;8435484104463;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.8900000000;6;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;1.8900000000;
XONE104470;X-One Funda TPU Samsung A5 2017 Atrapasueño;AATFYC2763;8435484104470;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.8900000000;14;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;1.8900000000;
XONE104531;X-One Funda TPU Samsung J5 Atrapasueño;AATFYC2766;8435484104531;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;16;0.1000000000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE104562;X-One Funda Libro Samsung J5 Flor Digital;AATFYC2769;8435484104562;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;16;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE104579;X-One Funda TPU Samsung A5 2016 Gato;AATFYC2770;8435484104579;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;18;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE104586;X-One Funda TPU Samsung A5 2016 Meow;AATFYC2771;8435484104586;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;17;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE136266;X-One Funda Libro Samsung A3 2017 Lotto;AATFYC2781;8435484136266;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9800000000;15;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9800000000;
XONE136273;X-One Funda TPU Samsung A3 2017 Atrapasueño;AATFYC2782;8435484136273;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.8900000000;16;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;1.8900000000;
XONE136303;X-One Funda Carcasa 360 Samsung A3 2017 Negro;AATFYC2785;8435484136303;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;12;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136310;X-One Funda Carcasa 360 Samsung A3 2017 Plateado;AATFYC2786;8435484136310;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;17;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136327;X-One Funda Carcasa 360 Samsung A3 2017 Dorado;AATFYC2787;8435484136327;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;18;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136334;X-One Funda Carcasa 360 Samsung A3 2017 Rosa;AATFYC2788;8435484136334;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;7;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136341;X-One Funda Carcasa 360 Samsung A3 2017 Transparen;AATFYC2789;8435484136341;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.4800000000;0;0.0575000000;;Proximamente;0.0000000000;0.0000000000;2.4800000000;
XONE136358;X-One Funda Libro View Samsung A3 2017 Negro;AATFYC2790;8435484136358;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;14;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136365;X-One Funda Libro View Samsung A3 2017 Dorado;AATFYC2791;8435484136365;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;18;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136372;X-One Funda Libro View Samsung A3 2017 Plateado;AATFYC2792;8435484136372;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;13;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136389;X-One Funda Libro View Samsung A3 2017 Rosa;AATFYC2793;8435484136389;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;20;0.0675000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136402;X-One Funda Carcasa 360 Samsung S6 Edge Negro;AATFYC2794;8435484136402;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;7;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136419;X-One Funda Carcasa 360 Samsung S6 Edge Plateado;AATFYC2795;8435484136419;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;10;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136426;X-One Funda Carcasa 360 Samsung S6 Edge Dorado;AATFYC2796;8435484136426;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;10;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136440;X-One Funda Carcasa 360 iPhone 6 Gris;AATFYC2798;8435484136440;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.4800000000;0;0.0575000000;;Proximamente;0.0000000000;0.0000000000;2.4800000000;
XONE136464;X-One Funda Carcasa 360 iPhone 6 Transparente;AATFYC2800;8435484136464;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.4800000000;10;0.0575000000;;;0.0000000000;0.0000000000;2.4800000000;
XONE136471;X-One Funda Carcasa 360 iPhone 6 Plus Negro;AATFYC2801;8435484136471;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;20;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136488;X-One Funda Carcasa 360 iPhone 6 Plus Plateado;AATFYC2802;8435484136488;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;17;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136495;X-One Funda Carcasa 360 iPhone 6 Plus Dorado;AATFYC2803;8435484136495;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;18;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136501;X-One Funda Carcasa 360 iPhone 6 Plus Transparente;AATFYC2804;8435484136501;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;7;0.0575000000;;;0.0000000000;0.0000000000;1.9900000000;
XONE136518;X-One Funda Carcasa 360 iPhone 7 - 8 Negro;AATFYC2805;8435484136518;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;7;0.0575000000;;;0.0000000000;0.0000000000;1.9900000000;
XONE136532;X-One Funda Carcasa 360 iPhone 7 - 8 Dorado;AATFYC2807;8435484136532;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;6;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136549;X-One Funda Carcasa 360 iPhone 7 - 8 Plus Transpa;AATFYC2808;8435484136549;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.4800000000;4;0.0575000000;;;0.0000000000;0.0000000000;2.4800000000;
XONE136556;X-One Funda Carcasa 360 iPhone 7 Plus - 8 Plus Neg;AATFYC2809;8435484136556;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;9;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136563;X-One Funda Carcasa 360 iPhone 7 Plus-8 Plus Plate;AATFYC2810;8435484136563;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;15;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136570;X-One Funda Carcasa 360 iPhone 7 Plus - 8 Plus Dor;AATFYC2811;8435484136570;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;15;0.0575000000;;Ultimas unidades;0.0000000000;0.0000000000;1.9900000000;
XONE136587;X-One Funda Carcasa 360 iPhone 7 Plus Transparente;AATFYC2812;8435484136587;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9900000000;10;0.0575000000;;;0.0000000000;0.0000000000;1.9900000000;
XONE136631;X-One Funda TPU Alcatel PIXI 4 (5.5) Azul;AATFYC2815;8435484136631;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;10;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE136648;X-One Funda TPU Alcatel PIXI 4 (5.5) Rosa;AATFYC2816;8435484136648;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;10;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE136655;X-One Funda TPU Alcatel PIXI 4.5 (3G) Negro;AATFYC2817;8435484136655;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;6;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE136679;X-One Funda TPU Alcatel PIXI 4.5 (3G) Rosa;AATFYC2819;8435484136679;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;18;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE136716;X-One Funda TPU Wiko U PULSE LITE Negro;AATFYC2820;8435484136716;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.0800000000;8;0.0437500000;;;0.0000000000;0.0000000000;1.0800000000;
XONE136723;X-One Funda TPU Wiko U PULSE LITE Rosa;AATFYC2821;8435484136723;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.0800000000;7;0.0437500000;;;0.0000000000;0.0000000000;1.0800000000;
XONE136730;X-One Funda TPU Wiko U PULSE LITE Transp.;AATFYC2822;8435484136730;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.0800000000;0;0.0437500000;;;0.0000000000;0.0000000000;1.0800000000;
XONE136747;X-One Funda TPU Wiko U PULSE Negro;AATFYC2823;8435484136747;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9800000000;2;0.0437500000;;;0.0000000000;0.0000000000;1.9800000000;
XONE136754;X-One Funda TPU Fino Huawei P10 Lite Transp.;AATFYC2824;8435484136754;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.3500000000;19;0.0362500000;;;0.0000000000;0.0000000000;1.3500000000;
XONE136785;X-One Funda Carcasa 360 iPhone 7 - 8 Rosa;AATFYC2826;8435484136785;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.4800000000;0;0.0575000000;;Proximamente;0.0000000000;0.0000000000;2.4800000000;
XONE136792;X-One Funda Libro Samsung J5 I Love;AATFYC2827;8435484136792;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9800000000;0;0.0875000000;;Proximamente;0.0000000000;0.0000000000;1.9800000000;
XONE136808;X-One Funda TPU Samsung J5 Tigre;AATFYC2828;8435484136808;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.9800000000;0;0.1000000000;;Proximamente;0.0000000000;0.0000000000;1.9800000000;
XONE136853;X-One Funda TPU Bumper PIXI 4.5 (3G) Rosa;AATFYC2831;8435484136853;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;16;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE136860;X-One Funda TPU Bumper PIXI 4.5 (3G) Azul;AATFYC2832;8435484136860;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;13;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE136907;X-One Funda Libro PIXI 4.5 (3G) Love GB;AATFYC2834;8435484136907;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;17;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE136921;X-One Funda Libro PIXI 4 (6) 3G Make Wish;AATFYC2836;8435484136921;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;13;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE136952;X-One Funda TPU Wiko Lenny 3 Max/Jerry Transp.;AATFYC2839;8435484136952;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.0800000000;7;0.0437500000;;;0.0000000000;0.0000000000;1.0800000000;
425860;Energy Phone Case Neo Lite Funda Negra;AATFYC2844;8432426425860;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;01450;Energy Sistem;5.1900000000;3;0.0250000000;;;0.0000000000;0.0000000000;5.1900000000;
426164;Energy Phone Case Max 4G Funda Negra;AATFYC2845;8432426426164;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;01450;Energy Sistem;5.8400000000;6;0.0250000000;;;0.0000000000;0.0000000000;5.8400000000;
427161;Energy Phone Cover Max 4000 Funda Libro Negra;AATFYC2847;8432426427161;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;01450;Energy Sistem;7.5600000000;10;0.0250000000;;;0.0000000000;0.0000000000;7.5600000000;
XONE137034;X-One Funda TPU Trans. PIXI 4 5 (3G) Media Mandala;AATFYC2848;8435484137034;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;11;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE137041;X-One Funda TPU Trans. PIXI 4 5 (3G) Mariposa Rosa;AATFYC2849;8435484137041;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;1;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE137072;X-One Funda TPU Trans. PIXI 4 5 (3G) N.Y. Girls;AATFYC2852;8435484137072;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;5;0.0425000000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE137089;X-One Funda Libro Samsung J7 2017 Cactus;AATFYC2853;8435484137089;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.0300000000;1;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;2.0300000000;
XONE137133;X-One Funda TPU Samsung J5 2017 Azul;AATFYC2858;8435484137133;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;1.0800000000;9;0.0437500000;;;0.0000000000;0.0000000000;1.0800000000;
XONE137140;X-One Funda TPU Alcatel A3 / Vodafone N8 Azul;AATFYC2859;8435484137140;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;12;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE137157;X-One Funda TPU Alcatel A3 / Vodafone N8 Rosa;AATFYC2860;8435484137157;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;26;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE137188;X-One Funda TPU Alcatel A5 LED color Rosa;AATFYC2863;8435484137188;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;10;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
XONE137225;X-One Funda Libro Samsung J5 2017 Perro Llorón;AATFYC2867;8435484137225;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;2.0300000000;2;0.0875000000;;Ultimas unidades;0.0000000000;0.0000000000;2.0300000000;
XONE137249;X-One Funda Libro Huawei Y5 2017 Rosa;AATFYC2868;8435484137249;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;7;0.0737500000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE137256;X-One Funda Libro Huawei Y5 2017 Azul;AATFYC2869;8435484137256;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.9900000000;9;0.0737500000;;Ultimas unidades;0.0000000000;0.0000000000;0.9900000000;
XONE137287;X-One Funda TPU Huawei Y5 2017 Rosa;AATFYC2872;8435484137287;AT;Accesorios Telefonía;FYC;Fundas y Carcasas para Telefonía;60173;X-ONE;0.6600000000;15;0.0437500000;;Ultimas unidades;0.0000000000;0.0000000000;0.6600000000;
