"REFFABRICANTE";"TITULO";"CODIGOINTERNO";"EAN/UPC";"CODFAMILIA";"TITULOFAMILIA";"CODSUBFAMILIA";"TITULOSUBFAMILIA";"CODFABRICANTE";"NOMFABRICANTE";PRECIO;"STOCK";PESO;"PROXIMA_LLEGADA";"CICLOVIDA";"PLAZOENTREGA"
"TQE-2501";"TooQ TQE-2501 caja externa 2.5"" IDE a USB 2.0";"AAACET0001";"8433281000162";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";4,46;36;0,1950000000;"";"";"0,0000000000"
"TQE-2512";"TooQ TQE-2512 caja externa 2.5"" IDE/SATA a USB 2.0";"AAACET0013";"8433281000056";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";6,81;26;0,2700000000;"";"";"0,0000000000"
"TQE-2510B";"TooQ TQE-2510B caja HD 2.5"" SATA USB 2.0 negra";"AAACET0016";"8433281000094";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";3,98;100;0,1950000000;"";"";"0,0000000000"
"TQE-3518B";"Tooq TQE-3518B caja externa HD 3.5""IDE/SATAII USB2";"AAACET0085";"8433281000070";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,26;57;0,7300000000;"";"";"0,0000000000"
"TQE-3518S";"TooQ TQE-3518S caja externa 3.5"" IDE/SATA-II USB";"AAACET0092";"8433281000063";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,26;17;0,7300000000;"";"";"0,0000000000"
"5PORTUMDUO2";"Tacens Portum Duo 2 USB 3.0 Dock Station";"AAACET0111";"4710700954539";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04080";"Tacens";27,88;29;0,8000000000;"";"";"0,0000000000"
"TQE-2515B";"TooQ TQE-2515B caja HD 2.5"" SATA3 USB2.0 Neg/pla.";"AAACET0112";"8433281006560";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";5,25;32;0,2000000000;"";"";"0,0000000000"
"TQE-3520B";"TooQ TQE-3520B caja externa HD 3.5""IDE/ SATA3 Negr";"AAACET0113";"8433281006577";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,41;78;0,7000000000;"";"";"0,0000000000"
"TQE-3509B";"TooQ TQE-3509B caja externa HD 3.5"" SATA3 a USB2.0";"AAACET0115";"8433281005662";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";10,39;78;0,5850000000;"";"";"0,0000000000"
"EW7033";"Ewent EW7033 caja externa 2.5"" SATA a USB3";"AAACET0116";"8716065270990";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";8,96;18;0,2650000000;"";"";"0,0000000000"
"EW7041";"EMINENT Ewent EW7041 Carcasa Portátil HD  SATA 2.5";"AAACET0117";"8716065231205";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";4,47;12;0,2200000000;"";"";"0,0000000000"
"EW7055";"EMINENT EWENT EW7055 caja externa 3.5"" SATA a USB3";"AAACET0119";"8716065271003";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";16,68;10;0,7300000000;"21/10/2016";"";"0,0000000000"
"EW7042";"EMINENT/Ewent EW7042 Caja HD 2.5"" IDE USB2.0 Plata";"AAACET0120";"8716065100839";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";4,37;32;0,2300000000;"";"";"0,0000000000"
"EW7047";"EMINENT EW7047 Caja HD 3.5"" IDE/SATA USB2.0 Negra";"AAACET0121";"8716065247862";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"60062";"Eminent";17,48;9;1,0600000000;"21/10/2016";"";"0,0000000000"
"BM-HDB01T";"B-Move BM-HDB01T Caja Externa HDD 2.5"" SATA  Neg";"AAACET0127";"8436532160035";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04192";"B-Move";5,53;46;0,1700000000;"";"";"0,0000000000"
"BM-HDF01";"B-Move BM-HDF01 Dock Station Doble Bahía HDD";"AAACET0128";"8436532160837";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04192";"B-Move";17,37;13;1,0750000000;"";"";"0,0000000000"
"BM-HDB03T";"B-Move BM-HDB03T Caja Externa HDD 2.5"" SATA  Roja";"AAACET0130";"8436532160059";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04192";"B-Move";5,53;25;0,1750000000;"";"";"0,0000000000"
"BM-HDB04T";"B-Move BM-HDB04T Caja Externa HDD 2.5"" SATA  Verde";"AAACET0131";"8436532160325";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04192";"B-Move";5,53;17;0,1700000000;"";"";"0,0000000000"
"TQE-3526B";"TooQ TQE-3526B caja externa HD 3.5"" SATA3 a USB3.0";"AAACET0133";"8433281005952";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,07;36;0,7350000000;"";"";"0,0000000000"
"TQE-2526B";"TooQ TQE-2526B caja HD 2.5"" SATA3 USB 3.0 Negra";"AAACET0134";"8433281005655";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";6,42;100;0,1950000000;"";"";"0,0000000000"
"TQDS-802B";"Tooq TQDS-802B Dock Station Doble Bahía HDD Negro";"AAACET0135";"8433281006676";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";17,99;27;0,7050000000;"";"";"0,0000000000"
"TQDS-802BW";"Tooq TQDS-802BW Dock Station Doble Bahía HDD Ne/Bl";"AAACET0136";"8433281006683";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";18,09;100;0,7000000000;"";"";"0,0000000000"
"BM-HDB02T";"B-Move BM-HDB02T Caja Externa HDD 2.5"" SATA Azul";"AAACET0138";"8436532160042";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04192";"B-Move";5,53;87;0,1750000000;"";"";"0,0000000000"
"appHDD05BK";"approx! appHDD05BK Caja Ext.2.5"" USB 2.0 Negra";"AAACET0139";"8435099514206";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";6,38;17;0,1500000000;"";"";"0,0000000000"
"appHDD06BK";"approx! appHDD06BK Caja Ext.2.5"" USB 3.0 Negra";"AAACET0142";"8435099514237";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";9,71;13;0,2250000000;"31/12/2017";"";"0,0000000000"
"appHDD06W";"approx! appHDD06W Caja Ext.2.5"" USB 3.0 Blanca";"AAACET0143";"8435099514923";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";9,71;10;0,2250000000;"";"";"0,0000000000"
"EW7034";"EMINENT Ewent EW7034 caja externa 2.5"" SATA USB3.0";"AAACET0149";"8716065281927";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";11,82;14;0,3050000000;"";"";"0,0000000000"
"EW7015";"EMINENT Ewent Dock Station Dual 2.5""-3.5"" USB 3.0";"AAACET0151";"8032958187108";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"04193";"Ewent";26,01;11;0,7250000000;"";"";"0,0000000000"
"TQE-2513B";"TooQ TQE-2513B caja HDD 2.5"" SATA3 USB 2.0 Negra";"AAACET0152";"8433281006751";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";4,97;27;0,2150000000;"";"";"0,0000000000"
"TQE-2530B";"TooQ TQE-2530B caja HDD 2.5"" SATA3 USB 3.0 Negra";"AAACET0153";"8433281006768";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";6,02;87;0,0800000000;"";"";"0,0000000000"
"TQE-3513B";"TooQ TQE-3513B caja HDD 3.5"" IDE/SATA3 USB 2.0 Neg";"AAACET0154";"8433281006775";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";12,85;27;0,8000000000;"";"";"0,0000000000"
"TQE-3530B";"TooQ TQE-3530B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0155";"8433281006782";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";13,39;28;0,7950000000;"";"";"0,0000000000"
"TQDS-902B";"Tooq TQDS-902B Dock Station Doble Bahía HDD Negro";"AAACET0157";"8433281006874";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";18,01;25;0,7600000000;"";"";"0,0000000000"
"TQE-2507B";"TooQ TQE-2507B caja HDD 2.5"" SATA3 USB 2.0 Negra";"AAACET0158";"8433281006843";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";4,33;59;0,2100000000;"";"";"0,0000000000"
"TQE-2527B";"TooQ TQE-2527B caja HDD 2.5"" SATA3 USB 3.0 Negra";"AAACET0159";"8433281006850";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";5,87;100;0,1000000000;"";"";"0,0000000000"
"TQE-3527B";"TooQ TQE-3527B caja HDD 3.5"" SATA3 USB 3.0 Negra";"AAACET0160";"8433281006867";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01590";"TooQ";11,63;100;0,3500000000;"";"";"0,0000000000"
"appHDD07B";"approx appHDD07B Caja Ext.3.5"" USB 2.0 SATA Negra";"AAACET0162";"8435099515623";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";15,00;13;0,5300000000;"";"";"0,0000000000"
"appHDD07W";"approx appHDD07W Caja Ext.3.5"" USB 2.0 SATA Blanca";"AAACET0163";"8435099515630";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";15,00;20;0,5300000000;"";"";"0,0000000000"
"appHDD09B";"approx appHDD09B Caja Ext.2.5"" USB 2.0 SATA Negra";"AAACET0165";"8435099515678";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";6,38;28;0,1950000000;"";"";"0,0000000000"
"appHDD10B";"approx appHDD10B Caja Ext.2.5"" USB 3.0 SATA Negra";"AAACET0169";"8435099515715";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";8,80;7;0,2000000000;"17/10/2016";"";"0,0000000000"
"appHDD10LB";"approx appHDD10LB Caja Ext.2.5"" USB 3.0 SATA Azul";"AAACET0170";"8435099515739";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";8,80;23;0,1950000000;"";"";"0,0000000000"
"appHDD10GP";"approx appHDD10GP Caja Ext.2.5"" USB 3.0 SATA Verde";"AAACET0171";"8435099515722";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";8,64;15;0,2000000000;"";"";"0,0000000000"
"appHDD08B";"approx appHDD08B Caja Ext.3.5"" USB 3.0 SATA Negra";"AAACET0173";"8435099515647";"AA";"Cajas externas";"CET";"Cajas Externas/Extraibles HD";"01360";"approx!";17,83;13;0,5350000000;"";"";"0,0000000000"
"EW1240";"EMINENT-EWENT EW1240 Cable de Seguridad con llave";"AAOAAC0045";"8056045875365";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";2,65;100;0,0950000000;"";"";"0,0000000000"
"EW1241";"EMINENT-EWENT EW1241 Cable Seguridad combinacion";"AAOAAC0046";"8056045875372";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"04193";"Ewent";3,05;7;0,1250000000;"14/10/2016";"";"0,0000000000"
"IGG311417";"iggual Cable de Seguridad Portátiles (4 dígitos)";"AAOAAC0051";"8435364311417";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"60001";"iggual";3,05;0;0,0145500000;"20/10/2016";"Proximamente";"0,0000000000"
"IGG311400";"iggual Cable de Seguridad Portátiles (Key lock)";"AAOAAC0052";"8435364311400";"AO";"Accesorios Portátil";"AAC";"Cables y Accesorios";"60001";"iggual";2,65;92;0,0127272727;"";"";"0,0000000000"
"TANZ0116V3";"TECH AIR BAGGY GRIS 7-11,6""";"AAOABT0045";"5060369673234";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";6,20;5;0,3030000000;"20/10/2016";"";"0,0000000000"
"TANZ0119V3";"TECH AIR TANZ0119V3 Maletin 17.3"" Negro";"AAOABT0083";"5060182451484";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";11,25;0;0,8000000000;"14/10/2016";"";"0,0000000000"
"ATCN20BRV5";"Tech air maletín básico 15.6""";"AAOABT0233";"8713525713004";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";7,35;63;1,0650000000;"20/10/2016";"";"0,0000000000"
"TAN3711V2";"Tech air Diseño mochila portátil 15.6"" negra";"AAOABT0256";"5060182452160";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";22,50;2;1,2000000000;"14/10/2016";"";"0,0000000000"
"TANZ0117V3";"Tech air Baggy Gris maletín portátil 15.6""";"AAOABT0279";"5060369673173";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";8,80;16;0,4500000000;"";"";"0,0000000000"
"TANZ0305V3";"Tech Air TANZ0305 funda para portátil 10-11.6""";"AAOABT0306";"5060182456205";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";6,85;3;0,2550000000;"14/10/2016";"";"0,0000000000"
"APPNB15LB";"approx! APPNB15LB Maletin  Portatil 15,6"" Celeste";"AAOABT0307";"8435099510970";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,60;30;0,6500000000;"";"";"0,0000000000"
"TANZ0713V3";"Tech Air Z0713 mochila portátil 16-17.3""";"AAOABT0312";"5060182455796";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";14,26;0;0,6850000000;"17/10/2016";"";"0,0000000000"
"APPNB15P";"approx! APPNB15P Maletín  Portátil 15,6""  Púrpura";"AAOABT0319";"8435099511014";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,60;0;0,6150000000;"31/12/2017";"";"0,0000000000"
"APPNB10P";"approx! MALETIN PORTATIL 11"" PURPURA";"AAOABT0324";"8435099511076";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";6,09;8;0,4500000000;"";"Ultimas unidades";"0,0000000000"
"APPNB15G";"approx! APPNB15G Maletin Portatil 15,6"" Gris";"AAOABT0325";"8435099510987";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,60;13;0,6150000000;"";"";"0,0000000000"
"TAN1202";"Tech Air maletín moderno 15,6"" Negro/Azul TAN1202";"AAOABT0334";"5060182456076";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";13,59;19;0,3000000000;"17/10/2016";"";"0,0000000000"
"TANZ0102V5";"Tech Air TANZ0102V5 maletin portatil 10-14,1""";"AAOABT0371";"8713525722006";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";10,00;5;0,7800000000;"14/10/2016";"";"0,0000000000"
"APPNB15B";"approx! APPNB15B Maletin Portatil 15,6"" Negro";"AAOABT0406";"8435099513094";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";5,60;100;0,6400000000;"";"";"0,0000000000"
"TABX406R";"Tech air TABX406R maletín portátil 15.6"" + ratón";"AAOABT0411";"5060182457837";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";8,50;82;0,6050000000;"20/10/2016";"";"0,0000000000"
"TANZ0331";"Tech air Funda de Neopreno Notebook 15'6"" TANZ0331";"AAOABT0419";"5060182458575";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";11,75;3;0,4850000000;"20/10/2016";"";"0,0000000000"
"TANB0700V3";"Tech Air Mochila Acolchada TANB0700V2  15,6"" Negro";"AAOABT0420";"5060369673258";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,20;10;0,5000000000;"14/10/2016";"";"0,0000000000"
"APPNB17B";"approx! APPNB17B Maletin para Portatil 17"" Negro";"AAOABT0427";"8435099514534";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,45;17;0,6000000000;"";"";"0,0000000000"
"TANZ0140";"Tech air maletín acolchado 15.6""";"AAOABT0428";"5060182457813";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";5,70;24;0,2000000000;"14/10/2016";"";"0,0000000000"
"ANBG2";"Tacens Anima BAG Maletín portátil 17.3"" Negro";"AAOABT0438";"4713105963168";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04080";"Tacens";8,52;34;0,4000000000;"";"";"0,0000000000"
"APPNB17P";"approx! APPNB17P Maletin para Portatil 17"" Morado";"AAOABT0444";"8435099515210";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";8,25;44;0,7200000000;"";"";"0,0000000000"
"TABUN29MV3";"Tech air TABUN29MV3 maletín portátil 15.6""+ratón";"AAOABT0448";"5060182450937";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,99;50;0,7800000000;"14/10/2016";"";"0,0000000000"
"TANZ0108v2";"Tech Air Maletin Clasico TANZ0108 15,6"" Negro";"AAOABT0470";"5060369673227";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";12,25;19;0,2000000000;"";"";"0,0000000000"
"TANZ0330V2";"Tech air Funda de Neopreno Notebook 13.3 TANZ0330";"AAOABT0471";"5060182458551";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";8,59;5;0,3850000000;"14/10/2016";"";"0,0000000000"
"BUREAUKIT";"NGS Bolsa portátil Organizer16"" + Raton";"AAOABT0473";"8435430603972";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";7,99;0;0,8150000000;"31/12/2017";"";"0,0000000000"
"EW2506";"EWENT EW2506 Maletin portátil 16 green";"AAOABT0474";"8056045875785";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04193";"Ewent";7,99;14;0,9900000000;"";"";"0,0000000000"
"APPNBBUNDLE2";"approx! APPNBBUNDLE2 Maletín Portátil 15,6""+Ratón";"AAOABT0485";"8435099518716";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,67;100;0,6000000000;"";"";"0,0000000000"
"ENTERPRISE";"NGS BUSINESS NOTEBOOK BAG 15.6"" Negro";"AAOABT0486";"8435430601602";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";5,50;0;0,2500000000;"31/12/2017";"Proximamente";"0,0000000000"
"APPNBBUNDLE4";"approx! APPNBBUNDLE4 Mochila Portátil 15,6""+Ratón";"AAOABT0487";"8435099519027";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";10,15;17;0,7800000000;"";"";"0,0000000000"
"407707001";"GABOL Mochila 15.6""/Tablet 10"" Negro Industry";"AAOABT0489";"8425126152563";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";26,90;4;1,0000000000;"";"";"0,0000000000"
"407713001";"GABOL Maletin-Mochila 15.6""  Negro Industry";"AAOABT0493";"8425126152600";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";24,50;3;1,2000000000;"";"";"0,0000000000"
"404309001";"GABOL Trolley 15.6"" con 4 ruedas Negro Pilotos";"AAOABT0503";"8425126152341";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";41,00;1;2,4000000000;"18/10/2016";"";"0,0000000000"
"112119003";"GABOL Trolley 15.6"" con 2 ruedas Azul Pilotos";"AAOABT0504";"8425126134583";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";35,70;0;2,6000000000;"31/12/2017";"";"0,0000000000"
"OZROVERBKPK";"OZONE Mochila Portátil  Gaming OZROVERBKPK Negra";"AAOABT0505";"8436532173004";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04234";"OZONE";33,28;1;0,2000000000;"19/10/2016";"";"0,0000000000"
"TANZ0311V2";"Tech Air TANZ0311 funda para portátil 17.3"" Negro";"AAOABT0509";"5060182456755";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";9,30;11;0,1000000000;"14/10/2016";"";"0,0000000000"
"112119024";"GABOL Trolley 15.6"" con 2 ruedas Ciruela Pilotos";"AAOABT0510";"8425126134590";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";33,10;0;1,5000000000;"31/12/2017";"Proximamente";"0,0000000000"
"EW2841";"EMINENT-EWENT EW2841 Mochila portátil 16""";"AAOABT0512";"8056045878243";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04193";"Ewent";7,60;9;0,5000000000;"14/10/2016";"";"0,0000000000"
"PSI09391";"iggual Maletín 17,3""/Tablet 10,2"" 2DP Negro EDIT";"AAOABT0514";"8435364309391";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60001";"iggual";16,99;7;0,2000000000;"";"Ultimas unidades";"0,0000000000"
"PSI09360";"iggual Reportero Tablet 8""/7"" Negro MARK";"AAOABT0516";"8435364309360";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60001";"iggual";12,30;1;0,2000000000;"";"Ultimas unidades";"0,0000000000"
"PSI09353";"iggual Reportero Tablet 8""/7"" Azul MARK";"AAOABT0517";"8435364309353";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60001";"iggual";13,50;10;0,2000000000;"";"Ultimas unidades";"0,0000000000"
"PSI09346";"iggual Maletín 15,6""/Tablet 10,2"" 1DP Negro MARK";"AAOABT0518";"8425126122689";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60001";"iggual";19,98;1;0,2000000000;"";"Ultimas unidades";"0,0000000000"
"PSI09315";"iggual Mochila 15,6""/Tablet 10,2"" 2DP Negro MARK";"AAOABT0521";"8435364309315";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60001";"iggual";21,62;6;0,2000000000;"";"Ultimas unidades";"0,0000000000"
"PSI09421";"iggual Maletín 15,6""/10,2"" 2DP Taupe EVENT";"AAOABT0524";"8435364309421";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60001";"iggual";20,00;5;0,2000000000;"";"Ultimas unidades";"0,0000000000"
"BLUEPEAK";"NGS MOCHILA AZUL BLUEPEAK MOCHILA 16"" AZUL";"AAOABT0526";"8435430604665";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";8,25;18;0,3080000000;"";"Ultimas unidades";"0,0000000000"
"REDPEAK";"NGS MOCHILA ROJA REDPEAK MOCHILA 16"" ROJA";"AAOABT0527";"8435430604689";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";8,25;12;0,3080000000;"";"Ultimas unidades";"0,0000000000"
"APPNB15S";"approx appNB15s Maletín Portátil 15,6"" Negro/Azul";"AAOABT0528";"8435099520405";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";5,14;0;0,3240000000;"31/12/2017";"";"0,0000000000"
"APPNBBUNDLES";"approx appNBBUNDLES Maletín Portátil 15,6"" + Ratón";"AAOABT0529";"8435099520412";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01360";"approx!";7,48;100;0,3800000000;"";"";"0,0000000000"
"TABUN33MV3";"Tech air TABUN33MV3 maletín portátil 17.3""+ratón";"AAOABT0530";"5060182451170";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";15,65;1;0,9000000000;"14/10/2016";"";"0,0000000000"
"EW2528";"EWENT EW2528 Mochila portátil 17.3""";"AAOABT0532";"8056045879455";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04193";"Ewent";16,10;0;0,1000000000;"31/12/2017";"";"0,0000000000"
"EW2520";"EWENT EW2520 Funda para portátil 13.3""";"AAOABT0533";"8056045879424";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04193";"Ewent";6,17;0;0,1000000000;"31/12/2017";"";"0,0000000000"
"PASSENGER";"NGS Maletin portátil 16"" PASSENGER";"AAOABT0534";"8435430604627";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";6,99;2;0,6700000000;"18/10/2016";"";"0,0000000000"
"PASSENGER PLUS";"NGS Maletin portátil 18"" PASSENGER PLUS";"AAOABT0535";"8435430604641";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";8,50;8;0,7600000000;"";"";"0,0000000000"
"OZSURVIVORBKPK";"OZONE Mochila Portátil Gaming Survivo Negra";"AAOABT0536";"8436532173790";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04234";"OZONE";44,55;6;1,4000000000;"";"";"0,0000000000"
"TANZ0125V3";"TECH AIR Baggy Z0125V3 Negro 17""";"AAOABT0537";"5060369673180";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";8,87;6;0,1000000000;"";"";"0,0000000000"
"TANZ0348";"Tech Air TANZ0348 funda para portátil 11.6"" Negro";"AAOABT0538";"5060369672459";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"04030";"Tech Air";10,46;15;0,1000000000;"20/10/2016";"";"0,0000000000"
"SHERPA";"NGS MOCHILA TROLLEY DE 16""";"AAOABT0540";"8435430606089";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"01040";"NGS";37,00;3;2,1500000000;"";"Novedad";"0,0000000000"
"408801001";"GABOL Maletin 15.6"" /Tablet 10"" Negro Beltfast";"AAOABT0541";"8425126163330";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";28,99;0;0,2000000000;"28/10/2016";"Proximamente";"0,0000000000"
"408801015";"GABOL Maletin 15.6"" /Tablet 10"" Chocolate Beltfast";"AAOABT0542";"8425126163347";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";28,99;0;0,2000000000;"28/10/2016";"Proximamente";"0,0000000000"
"408807001";"Gabol Mochila 15,6""/Tablet 12.9"" Negro Beltfast";"AAOABT0543";"8425126163415";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";28,99;0;0,2000000000;"28/10/2016";"Proximamente";"0,0000000000"
"408421001";"GABOL Maletin 15.6"" Negro Dallas";"AAOABT0544";"8425126163521";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";24,30;4;0,2000000000;"";"Novedad";"0,0000000000"
"408421003";"GABOL Maletin 15.6"" Azul Dallas";"AAOABT0545";"8425126163538";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";24,30;4;0,2000000000;"";"Novedad";"0,0000000000"
"408410001";"GABOL Maletín 17.3""/Tablet 10"" 1DP Negro Dallas";"AAOABT0546";"8425126163460";"AO";"Accesorios Portátil";"ABT";"Bolsas Transporte";"60169";"GaBOL";24,30;4;0,3000000000;"";"Novedad";"0,0000000000"
